User Input,basic_understanding
Difficulty,Model,Objective Score,Alignment Rate
easy,GPT-4o,0.9017857142857143,0.7466666666666667
easy,GPT-4o-Mini,0.9017857142857143,0.7466666666666667
easy,Gemini-1.5-Flash,0.8928571428571429,0.7466666666666667
easy,Claude-3.5-Sonnet,0.9107142857142857,0.7466666666666667
easy,Claude-3-Haiku,0.8928571428571429,0.7466666666666667
easy,GLM-4v,0.9196428571428571,0.7466666666666667
medium,GPT-4o,0.7687074829931972,0.98
medium,GPT-4o-Mini,0.7619047619047619,0.98
medium,Gemini-1.5-Flash,0.7346938775510204,0.98
medium,Claude-3.5-Sonnet,0.7551020408163265,0.98
medium,Claude-3-Haiku,0.7210884353741497,0.98
medium,GLM-4v,0.7482993197278912,0.98
hard,GPT-4o,0.6911764705882353,0.9066666666666666
hard,GPT-4o-Mini,0.6343283582089553,0.8933333333333333
hard,Gemini-1.5-Flash,0.6691176470588235,0.9066666666666666
hard,Claude-3.5-Sonnet,0.5955882352941176,0.9066666666666666
hard,Claude-3-Haiku,0.5955882352941176,0.9066666666666666
hard,GLM-4v,0.6102941176470589,0.9066666666666666
