User Input,basic_understanding_hack_D
Difficulty,Model,Objective Score,Alignment Rate
easy,GPT-4o,0.9017857142857143,0.7466666666666667
easy,GPT-4o-Mini,0.8482142857142857,0.7466666666666667
easy,Gemini-1.5-Flash,0.875,0.7466666666666667
easy,Claude-3.5-Sonnet,0.9196428571428571,0.7466666666666667
easy,Claude-3-Haiku,0.8482142857142857,0.7466666666666667
easy,GLM-4v,0.8839285714285714,0.7466666666666667
medium,GPT-4o,0.7687074829931972,0.98
medium,GPT-4o-Mini,0.7210884353741497,0.98
medium,Gemini-1.5-Flash,0.726027397260274,0.9733333333333334
medium,Claude-3.5-Sonnet,0.7278911564625851,0.98
medium,Claude-3-Haiku,0.7006802721088435,0.98
medium,GLM-4v,0.7142857142857143,0.98
hard,GPT-4o,0.6691176470588235,0.9066666666666666
hard,GPT-4o-Mini,0.6323529411764706,0.9066666666666666
hard,Gemini-1.5-Flash,0.6764705882352942,0.9066666666666666
hard,Claude-3.5-Sonnet,0.6102941176470589,0.9066666666666666
hard,Claude-3-Haiku,0.5441176470588235,0.9066666666666666
hard,GLM-4v,0.5588235294117647,0.9066666666666666
