Topic Word,Degree
river,7
journey,6
bridge,5
continuity,6
road,7
coastline,7
traintracks,6
wheatfield,5
railway,7
park,5
railway,12
pathway,6
wilderness,6
meadow,8
balloons,5
pathway,11
forest,9
maze,7
spiderweb,7
bridge,14
waterfall,8
continuity,11
desert,9
aqueducts,7
waterfall,10
surrealism,6
desert,13
waterfall,15
landscape,6
cityscape,6
cosmos,5
trainstation,6
urban,5
venice,6
landscape,8
enchantment,6
maze,11
landscape,11
cyberpunk,6
streetscape,6
canal,7
lake,6
skyline,6
aqueduct,7
alleyway,6
cityscape,11
canal,12
countryside,6
urban,12
delta,6
venice,8
winter,5
winter,9
vineyard,7
marketplace,9
marketplace,13
amusementpark,5
aqueduct,11
urban,16
garden,7
mountain,8
creek,7
aqueduct,15
trail,7
stream,9
riverbank,6
streetscape,11
vine,7
riverbank,10
sunflowers,7
vineyard,10
village,6
vines,7
hallway,6
mountain,13
village,11
station,8
railway,17
forest,16
trail,10
jungle,6
river,21
river,25
stream,15
cobblestone,12
trail,12
hallway,10
wall,6
lava,7
village,17
pier,7
wheatfield,8
canyon,8
wheatfield,12
pier,12
crystals,6
wheatfield,16
riverbend,5
trail,14
